Brand,AnnualDemand,AvgPurchasePrice,HoldingCost,OrderingCost,EOQ,OrdersPerYear,TotalOrderingCost,TotalHoldingCost,TotalInventoryCost
18010,1595,3.92,0.784,150,781,3,450,306.152,756.152
11213,1589,12.66,2.532,150,434,4,600,549.444,1149.444
39413,1588,5.06,1.012,150,686,3,450,347.116,797.116
6234,1582,4.54,0.908,150,723,3,450,328.242,778.242
3547,1581,2.2,0.44000000000000006,150,1038,2,300,228.36000000000004,528.36
31489,1579,5.71,1.1420000000000001,150,644,3,450,367.72400000000005,817.724
3488,1578,15.62,3.124,150,389,5,750,607.618,1357.618
3960,1570,9.52,1.904,150,497,4,600,473.144,1073.144
10421,1570,5.9,1.1800000000000002,150,632,3,450,372.88000000000005,822.8800000000001
16794,1569,10.94,2.188,150,464,4,600,507.61600000000004,1107.616
1295,1564,2.89,0.5780000000000001,150,901,2,300,260.389,560.389
7716,1562,3.79,0.758,150,786,2,300,297.894,597.894
6174,1559,5.8,1.16,150,635,3,450,368.29999999999995,818.3
2834,1556,12.3,2.4600000000000004,150,436,4,600,536.2800000000001,1136.2800000000002
31915,1554,8.27,1.654,150,531,3,450,439.137,889.137
3702,1554,0.71,0.142,150,1812,1,150,128.652,278.652
1663,1549,0.74,0.148,150,1772,1,150,131.128,281.128
4932,1545,4.5,0.9,150,718,3,450,323.1,773.1
3038,1545,7.13,1.4260000000000002,150,570,3,450,406.41,856.4100000000001
46476,1544,6.89,1.3780000000000001,150,580,3,450,399.62,849.62
10058,1544,9.26,1.852,150,500,4,600,463.0,1063.0
6249,1543,7.84,1.568,150,543,3,450,425.712,875.712
2752,1542,26.31,5.2620000000000005,150,297,6,900,781.407,1681.4070000000002
3529,1540,10.14,2.028,150,477,4,600,483.678,1083.6779999999999
8441,1537,8.92,1.784,150,508,4,600,453.136,1053.136
3835,1537,8.2,1.64,150,530,3,450,434.59999999999997,884.5999999999999
8590,1531,5.07,1.014,150,673,3,450,341.211,791.211
19121,1531,8.21,1.6420000000000003,150,529,3,450,434.3090000000001,884.3090000000001
4152,1531,3.75,0.75,150,783,2,300,293.625,593.625
8421,1527,3.37,0.674,150,824,2,300,277.68800000000005,577.6880000000001
45822,1519,5.37,1.074,150,651,3,450,349.58700000000005,799.587
6574,1517,9.99,1.9980000000000002,150,477,4,600,476.523,1076.5230000000001
6876,1514,3.97,0.794,150,756,3,450,300.132,750.1320000000001
4736,1513,2.14,0.42800000000000005,150,1030,2,300,220.42000000000002,520.4200000000001
28069,1512,5.45,1.09,150,645,3,450,351.52500000000003,801.5250000000001
4916,1511,7.87,1.574,150,537,3,450,422.619,872.619
28138,1507,6.16,1.2320000000000002,150,606,3,450,373.29600000000005,823.296
3351,1504,13.27,2.654,150,412,4,600,546.7239999999999,1146.724
6526,1503,5.29,1.058,150,653,3,450,345.437,795.437
857,1476,16.17,3.2340000000000004,150,370,4,600,598.2900000000001,1198.29
39087,1475,6.66,1.332,150,576,3,450,383.61600000000004,833.616
10451,1473,5.29,1.058,150,646,3,450,341.73400000000004,791.734
18893,1473,6.89,1.3780000000000001,150,566,3,450,389.97400000000005,839.974
44037,1467,3.42,0.684,150,802,2,300,274.28400000000005,574.2840000000001
3857,1465,38.27,7.654000000000001,150,240,7,1050,918.4800000000001,1968.48
4225,1463,18.37,3.6740000000000004,150,346,5,750,635.6020000000001,1385.602
4296,1462,9.29,1.8579999999999999,150,486,4,600,451.49399999999997,1051.494
11141,1459,5.55,1.11,150,628,3,450,348.54,798.54
40337,1455,6.57,1.314,150,576,3,450,378.432,828.432
5872,1448,2.32,0.46399999999999997,150,968,2,300,224.576,524.576
3345,1441,1.54,0.30800000000000005,150,1185,2,300,182.49000000000004,482.49
