Brand,Revenue,Quantity,Transactions,Revenue %,Cumulative %,Category
25846,5165.65,235,142,0.015587650505767879,79.42477536063437,B
22194,5158.35,465,207,0.015565622329508918,79.44034098296387,B
29835,5153.55,645,281,0.01555113804922905,79.45589212101311,B
14991,5145.139999999999,286,111,0.01552576038315537,79.47141788139626,B
22584,5141.16,284,159,0.01551375050075665,79.48693163189702,B
2902,5137.92,108,83,0.015503973611567742,79.5024356055086,B
7986,5137.28,172,129,0.015502042374197089,79.51793764788279,B
5333,5129.49,351,242,0.015478535594326225,79.53341618347712,B
2045,5128.650000000001,135,105,0.015476000845277251,79.5488921843224,B
23258,5128.29,171,29,0.015474914524256261,79.56436709884666,B
20419,5125.87,263,152,0.015467612032948495,79.57983471087961,B
1464,5123.969999999999,203,170,0.01546187867200438,79.59529658955161,B
37840,5121.59,641,313,0.015454696883032283,79.61075128643463,B
41970,5119.79,321,152,0.01544926527792733,79.62620055171256,B
2658,5118.83,317,274,0.01544636842187136,79.64164692013443,B
1001,5109.47,853,316,0.015418124075325623,79.65706504420976,B
5897,5106.65,335,275,0.0154096145606612,79.67247465877043,B
16317,5105.36,464,196,0.015405721910335986,79.68788038068077,B
6950,5095.530000000001,147,120,0.015376059311346182,79.70325643999212,B
8118,5087.59,741,553,0.01535209989771657,79.71860853988983,B
513,5084.38,162,148,0.015342413535279409,79.73395095342511,B
36750,5080.82,718,357,0.015331671027405175,79.74928262445252,B
11238,5079.48,252,111,0.01532762749916038,79.76461025195168,B
3476,5075.71,229,195,0.015316251304023904,79.77992650325571,B
13141,5075.42,458,215,0.015315376212090328,79.7952418794678,B
8978,5074.68,332,242,0.015313143218880516,79.81055502268667,B
11888,5072.41,459,248,0.015306293361331495,79.825861316048,B
37235,5071.77,423,232,0.015304362123960849,79.84116567817196,B
4197,5069.0199999999995,298,213,0.015296063838383838,79.85646174201034,B
7224,5068.83,317,247,0.015295490502289429,79.87175723251262,B
5212,5064.78,222,181,0.015283269390803295,79.88704050190343,B
31971,5052.38,562,286,0.015245851666746975,79.90228635357018,B
42421,5050.32,368,209,0.015239635496460199,79.91752598906663,B
7994,5044.95,505,343,0.0152234312078971,79.93274942027453,B
28579,5041.69,631,294,0.015213593967540356,79.94796301424208,B
26285,5041.34,66,54,0.015212537822103286,79.96317555206419,B
1657,5039.28,72,53,0.015206321651816507,79.978381873716,B
4280,5037.9,210,144,0.015202157421236049,79.99358403113725,B
24286,5035.03,197,125,0.015193497028652046,80.0087775281659,B
759,5027.04,96,83,0.015169386737102851,80.023946914903,B
5334,5026.95,205,174,0.015169115156847605,80.03911603005984,B
757,5026.219999999999,278,217,0.015166912339221707,80.05428294239907,B
32796,5023.49,251,183,0.015158674404812535,80.06944161680389,B
37435,5022.429999999999,157,84,0.015155475792917397,80.08459709259681,B
2433,5015.620000000001,38,32,0.015134926220270344,80.09973201881708,B
1991,4999.99,1,1,0.015087761782609028,80.11481978059969,B
12203,4995.0,500,197,0.015072704166234753,80.12989248476592,B
41254,4990.63,409,221,0.015059517436063293,80.14495200220198,B
42948,4989.82,418,263,0.015057073213766063,80.16000907541574,B
2841,4983.570000000001,143,112,0.015038213473818325,80.17504728888956,B
43450,4978.07,293,206,0.015021616902664311,80.19006890579222,B
29407,4977.9,310,189,0.015021103917737732,80.20509000970995,B
24664,4975.02,498,139,0.015012413349569815,80.22010242305952,B
8599,4971.7,830,564,0.015002395055709574,80.23510481811522,B
5462,4969.74,226,198,0.014996480641261961,80.25010129875648,B
31493,4965.530000000001,807,337,0.014983776720433167,80.2650850754769,B
8262,4961.7,230,190,0.014972219471793188,80.28005729494869,B
28580,4955.94,206,118,0.014954838335457347,80.29501213328415,B
2644,4949.37,63,52,0.014935012976824284,80.30994714626097,B
17814,4948.59,141,95,0.014932659281278807,80.32487980554225,B
16816,4940.88,412,176,0.01490939390607927,80.33978919944833,B
4767,4936.34,166,139,0.014895694190981234,80.35468489363932,B
4250,4928.860000000001,114,97,0.014873122854211777,80.36955801649353,B
8295,4918.77,123,78,0.014842675690040144,80.38440069218356,B
3390,4918.36,164,127,0.014841438491099571,80.39924213067466,B
27512,4917.83,217,175,0.014839839185152004,80.41408196985982,B
4050,4910.28,372,314,0.014817056619295131,80.42889902647912,B
26427,4909.78,222,107,0.01481554784009931,80.44371457431922,B
5731,4907.63,337,240,0.014809060089557288,80.45852363440878,B
5270,4907.34,2466,750,0.014808184997623715,80.4733318194064,B
12943,4905.09,491,284,0.014801395491242526,80.48813321489764,B
2935,4899.51,49,34,0.014784557515417183,80.50291777241306,B
13979,4898.6,140,76,0.014781811537280793,80.51769958395033,B
8265,4895.1,490,307,0.014771250082910059,80.53247083403325,B
9388,4892.099999999999,190,133,0.01476219740773514,80.54723303144098,B
5597,4891.4400000000005,456,343,0.014760205819196662,80.56199323726018,B
13163,4882.92,508,304,0.0147344962216999,80.57672773348189,B
5629,4881.57,543,348,0.014730422517871187,80.59145815599976,B
23271,4873.9,610,282,0.014707277845007319,80.60616543384477,B
361,4867.98,202,163,0.014689413899328818,80.6208548477441,B
1365,4865.91,609,405,0.014683167553458125,80.63553801529756,B
6861,4863.88,812,437,0.014677041909923102,80.65021505720748,B
2549,4859.91,109,100,0.014665062203108295,80.66488011941058,B
6859,4857.69,531,269,0.014658363223478858,80.67953848263406,B
17756,4856.76,324,188,0.014655556894174634,80.69419403952823,B
1817,4855.799999999999,220,194,0.014652660038118659,80.70884669956635,B
6958,4846.9,510,298,0.014625803768433077,80.72347250333479,B
17865,4839.65,407,210,0.014603926470093696,80.73807642980488,B
758,4838.79,121,81,0.014601331369876888,80.75267776117475,B
21129,4837.3099999999995,269,140,0.014596865383457261,80.7672746265582,B
23307,4831.97,403,221,0.014580751621645915,80.78185537817986,B
24205,4825.4,460,119,0.014560926263012846,80.79641630444287,B
4234,4822.36,364,287,0.014551752885502266,80.81096805732837,B
8808,4807.33,267,208,0.014506398982875939,80.82547445631124,B
28775,4800.65,435,281,0.014486241692819792,80.83996069800406,B
2598,4796.8,320,257,0.014474624093011984,80.85443532209707,B
4075,4785.99,201,169,0.014442004286798371,80.86887732638387,B
2145,4785.339999999999,266,228,0.014440042873843805,80.88331736925771,B
17177,4784.64,436,264,0.014437930582969659,80.89775529984068,B
16761,4784.58,342,145,0.01443774952946616,80.91219304937015,B
6216,4778.02,598,366,0.014417954346417013,80.92661100371656,B
17954,4778.02,598,341,0.014417954346417013,80.94102895806297,B
4670,4773.72,828,539,0.014404978845332966,80.9554339369083,B
